Lz,N_slab,E_exact,E_ewald,error_r
1.0,1,-1.6544257021828486,-1.2287981693539243,0.2572660303012408
1.0,2,-1.6544257021828486,-1.5628736843531708,0.05533764236670412
1.0,3,-1.6544257021828486,-1.6272347501511215,0.01643528143684623
1.0,4,-1.6544257021828486,-1.644943074496283,0.005731673337795846
1.0,5,-1.6544257021828486,-1.650820254714544,0.0021792743328077316
1.0,6,-1.6544257021828486,-1.6529871966511882,0.0008694893519620722
1.0,7,-1.6544257021828486,-1.6538354456855033,0.00035677425499763913
1.0,8,-1.6544257021828486,-1.654179310443379,0.00014892886343847834
1.0,9,-1.6544257021828486,-1.654321720140832,6.285083813637898e-5
1.0,10,-1.6544257021828486,-1.654381510714569,2.6711062467962334e-5
3.0,1,-0.46101090711228876,-0.38623104509291395,0.16220844423787273
3.0,2,-0.46101090711228876,-0.4557164283111485,0.011484497914169039
3.0,3,-0.46101090711228876,-0.4606008039545582,0.0008895736552078078
3.0,4,-0.46101090711228876,-0.4609782564201243,7.082412077618602e-5
3.0,5,-0.46101090711228876,-0.46100832739892006,5.5957751300483995e-6
3.0,6,-0.46101090711228876,-0.4610107488933111,3.4320007444669866e-7
3.0,7,-0.46101090711228876,-0.46101094572618156,8.375917404499962e-8
3.0,8,-0.46101090711228876,-0.46101096031419203,1.154026996996396e-7
3.0,9,-0.46101090711228876,-0.4610109619734385,1.1900184765221636e-7
3.0,10,-0.46101090711228876,-0.4610109617701829,1.1856095661059762e-7
5.0,1,0.2704329986404912,0.27605110447966336,0.020774483392985522
5.0,2,0.2704329986404912,0.27052067438903493,0.0003242050673715705
5.0,3,0.2704329986404912,0.2704342793356971,4.735720908038242e-6
5.0,4,0.2704329986404912,0.270432961546626,1.3716471506122685e-7
5.0,5,0.2704329986404912,0.27043294236639864,2.0808885319242521e-7
5.0,6,0.2704329986404912,0.2704329420944737,2.090943700057838e-7
5.0,7,0.2704329986404912,0.27043294171759685,2.1048797531632426e-7
5.0,8,0.2704329986404912,0.2704329419530335,2.0961738381549725e-7
5.0,9,0.2704329986404912,0.27043294169557497,2.1056940725853106e-7
5.0,10,0.2704329986404912,0.2704329419146707,2.0975924081194076e-7
